video_id,comment
5SY8pkuZIfk,"👀 SPICY NEWS!!! 👀
You can now buy five of our spice mixes from Amar Khamar—(1) Bengali gorom moshla, (2) shahi gorom moshla, (3) bhaja moshla, (4) kochurir torkari moshla, and (5) vegetable chop moshla. 

📲 Buy online from Amar Khamar: https://www.amar-khamar.com/
🚶🏾‍♀️Buy in-store at Annaja, Gariahat: https://maps.app.goo.gl/8D97U18mM31jWWTK6"
5SY8pkuZIfk,On your website masoor dal bori is not available sold out - how do I know when it will available ? Thank you sooo much for selling authentic Bengali products as I am a Maharashtrian from Bombay I never knew where to buy Bengali cuisine garom moshala or bori ❤
5SY8pkuZIfk,Please make a recipe using Shojne ful
5SY8pkuZIfk,"Commenting from Dhaka. Never Tried Palong this way. But I'm very curious to know one thing. Is this supposed to be on the sweeter side? Cause the amount of sugar seemed very much. Actually, we're not used to adding sugar in our cooking in BD. 
Thanks."
5SY8pkuZIfk,Pl tell me which yr khejoor gur will i buy? for gure'r payesh? Bcoz I always used solid patali gur for payesh
5SY8pkuZIfk,So beautifully shot.
5SY8pkuZIfk,Khub bhalo ....healthy simple dish explained so well....e bhabei majhe majhe video dekhte pele monta bhalo laage ❤❤❤
5SY8pkuZIfk,"I just love your videos it's so wholesome, the music especially. I miss kolkata and the food there, wish I could go back to my college days in kolkata."
5SY8pkuZIfk,I really liked your old format where the measurements were included in the video. Why have you stopped that?
5SY8pkuZIfk,"Awesome recipe mam, please show Kolkata Mutton Chaap gravy and Kolkata Mutton Tikkiya gravy recipe please"
5SY8pkuZIfk,Please ship out of India also
5SY8pkuZIfk,"My most favourite is your recipe sharing videos. I still follow your green peas kachori and aloo dum ❤ it's my most favourite video. 
Plz restock Boris as everything is sold out ❣️ congratulations ❤💖"
urF2q-ylC18,"👉🏾You can follow Pritha Sen’s work on Instagram at https://www.instagram.com/pritha7406

🌾Buy Kanakchur Khoi from Amar Khamar here: https://www.amar-khamar.com/products/khoi-from-kanakchur"
urF2q-ylC18,"This episode is so nostalgic for me. I was newly married and the first item my husband wanted me to learn from his thamma (grandmother) was a dal, masoor dal recipe and thamma was 90+ at that time. She sat on a mura and gave directions and I cooked. One of the best dal I had tasted, dry and slow cooked by adding water every now and then. Thank you Bong eats 🧡🧡🧡"
urF2q-ylC18,Yes typical bikrampuria but without onion
urF2q-ylC18,Onkdin por akta video dekhlam jeta first to last khub informative... Sudhu ektu request korbo jate Bangla vasha ta arektu beshi use hoy... To make it international use English subtitles but bangla ta boluk... Kan a suneo vlo lage r amader ma thakuma ra jara bangla ta bojhe tarao jene dekhte pare
