video_id,channelTitle,title,publishedAt,description,duration,definition,caption,viewCount,likeCount,favoriteCount,commentCount,publishedDay,durationSecs
5SY8pkuZIfk,Bong Eats,Palang Shaak Bhaja—Spinach stir fry with brinjal—Bengali vegetarian recipe,2024-02-23 04:00:01+00:00,"Palong shaak bhaja—Spinach and brinjal stir-fry

The winter markets of Bengal are full of the most vibrant array of vegetables. While spinach is eaten all year round in the West, here it is very much a winter guest. So it finds a prominent place in the shaak or the leafy-greens course on the Bengali lunch menu. This quick stir-fried version is made in our family with brinjals—another vegetable that is especially good in this season. We prefer to cook palong bhaja with younger, tender beginning-of-season spinach, reserving the more mature bunches, with thicker stalk, for palong shaaker ghonto.

👀 SPICY NEWS!!! 👀
You can now buy five of our spice mixes from Amar Khamar—(1) Bengali gorom moshla, (2) shahi gorom moshla, (3) bhaja moshla, (4) kochurir torkari moshla, and (5) vegetable chop moshla. 

📲 Buy online from Amar Khamar: https://www.amar-khamar.com/
🚶🏾‍♀️Buy in-store at Annaja, Gariahat: https://maps.app.goo.gl/8D97U18mM31jWWTK6
______________________________________________
📝 FULL WRITTEN RECIPE WITH INGREDIENT LIST 
https://www.bongeats.com/recipe/palong-shaak-bhaja

📣 WATCH THIS VIDEO WITH A BANGLA VOICEOVER
https://youtu.be/HzSWhyaDPQE
______________________________________________

🌾 PRODUCTS USED (sponsored)
🛒 Daal'er bori: https://www.amar-khamar.com/collections/bori
🛒 Kataribhog rice: https://www.amar-khamar.com/products/kataribhog
______________________________________________
🎥 RELATED VIDEOS
🎬 Palong shaaker ghonto: https://youtu.be/doLrVyqkiLg
🎬 Paat patar bora: https://youtu.be/dWhLs_YRyck

______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://www.bongeats.com/kitchen/tools

🎶 MUSIC 
""Chowringhee"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS on Instagram @bongeats, or follow us on 
Twitter @bongeats | Facebook @bongeats.",PT4M14S,hd,false,14200.0,837.0,0.0,37.0,Friday,254
urF2q-ylC18,Bong Eats,Cooking with Pritha Sen: Rannaghore Ke? Episode 9,2024-02-16 04:00:33+00:00,"Rannaghore Ke? is a fun adda with old and new friends about food, life and everything else. This is episode 9 with Pritha Sen.

We know Pritha di as someone who writes and talks about food and food history, but she contains multitudes, having worked in several—interconnected—fields over the course of her long and chequered career. A former teacher and journalist, Pritha di moved into the field of grassroots development work, working with artisans and crafts communities in remote areas to achieve sustainable livelihoods for them. 

As someone who has done a lot of reading, writing and research on the indigenous eating habits of the people of Bengal, particularly Undivided Bengal, Pritha di often takes that knowledge to her own food pop-ups and curated menus. Pritha di is also a chef consultant with fine-dining restaurants, which means she has curated menus and helped set up restaurants in Goa, Mumbai and Singapore.

Pritha di started sharing her family recipes when food groups were first popping up on the social internet. In the episode she talks both about the joy of sharing her personal food stories and recipes with a wider community for the first time, as well as the harsh judgement she faced against some of the ingredients she was using. So, today, when bloggers and YouTubers—like us—or even restaurant menus, feature dishes like maccher mathar chyachhra, macher teler bora, or khoshar chachchari of various kinds, we stand on the shoulders of the likes of Pritha di who has been, for more than a decade and a half, priming the audience at large to accept our indigenous eating habits, AND flaunt them proudly to the whole world.

Enjoy the recipes Pritha di cooks for us: khoi'er bora, Bikrampuri dal, lau'er khosha'r chhechki, and alu-phulkopi diye komola kaliya!",PT36M10S,hd,true,45408.0,1561.0,0.0,167.0,Friday,2170
k-OyBThArrQ,Bong Eats,Time to soak fruits for the Bong Eats Christmas cake! Full recipe on bongeats.com,2023-11-18 08:28:14+00:00,,PT36S,hd,false,38434.0,1612.0,0.0,28.0,Saturday,36
kUnLPk_V8EI,Bong Eats,Niramish Mangsho—mutton curry for Bengali Kali puja,2023-11-03 11:22:55+00:00,"Niramish mangsho is a mutton dish that used to be cooked with sacrificial goat meat. Because this dish is offered to the Goddess Kali, it is cooked without any onion and garlic. This omission of onion and garlic is apparently enough to earn this dish the 'niramish', that is, vegetarian, tag in the eyes of Bengalis.

Niramish mangsho is in spirit similar to the Kashmiri rogan josh, which too uses only ground spices and no onion or garlic. Since this was traditionally cooked with the meat of goats that were sacrificed to Kali, it is best to use the meat of a small goat for this recipe. The larger, grain-fed, fattier 'rewaji' mutton is best reserved for dishes with onion and garlic.

Since this is a special dish for Kali Pujo, we have chosen to grind the spices from scratch. It can, however, be also made using readymade powdered spices.

The Bengali word 'niramish' is interesting because, unlike the English coinage 'non-vegetarian', niramish literally means 'non-meat'—ni (not) + amish (flesh). This makes 'amish' (or flesh) the default word, with the term for 'vegetarian' derived by pre-fixing 'not' to it.

🌾 We've served niramish mangsho today with fragrant Tulaipanji (siddha) rice from Amar Khamar.   🛒 Buy it online: https://go.bongeats.com/amar-khamar-free-shipping 
📍 Visit their store ""Annaja"": https://maps.app.goo.gl/TgwkL1kWMWb4y3666
______________________________________________
📝 FULL WRITTEN RECIPE WITH INGREDIENT LIST 
https://bongeats.com/recipe/niramish-mangsho

📣 WATCH THIS VIDEO WITH A BANGLA VOICEOVER
https://youtu.be/xv8oiRGjpCw
______________________________________________

🎥 RELATED VIDEOS
🎬 Kosha mangsho: https://youtu.be/CUCtn02Juk0
🎬 Chaltar chutney: https://youtu.be/zloZy7OFMQo

______________________________________________
🛍️ PRODUCTS USED (affiliate links)
🛒 900-watt electric grinder: https://geni.us/jJEqi
🛒 Silicone spatula set: https://amzn.to/3OxO9Hm

______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://bongeats.com/kitchen/tools

🎶 MUSIC 
""Chowringhee"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS on Instagram @bongeats, or follow us on 
Twitter @bongeats | Facebook @bongeats.",PT8M26S,hd,false,136082.0,3780.0,0.0,258.0,Friday,506
zloZy7OFMQo,Bong Eats,Chaltar'r Tok with Jolpai—a special Bengali chutney with elephant apple,2023-10-26 04:00:36+00:00,"This particular chutney is my grandmother Durga's recipe. She made it on the day of Lokkhi pujo in late October/early November. It uses two fruits that are in season now–unripe chalta (elephant apple) and jolpai (Indian olive). This chutney is a good example of a unique kind of Bengali chutney that uses fragrant non-parboiled rice for flavour along with grated coconut for texture.

Chalta is a fruit indigenous to India and China with a very peculiar flavour and build. Its English name ""elephant apple"" apparently comes from the fact that elephants love chalta! Unripe chalta appears in the markets in Bengal beginning October, when they are used in sweet and sour chutneys, as well as for savoury preparations. Over the subsequent few months they ripen and become more fibrous and sweeter. They are then made into pickles!

🌾 The fragrant, small-grained Radhatilok rice used in this recipe is from Amar Khamar: https://go.bongeats.com/amar-khamar-free-shipping (apply code BONGEATS23 for free shipping on orders over Rs 750!)
______________________________________________
📝 FULL WRITTEN RECIPE WITH INGREDIENT LIST 
https://bongeats.com/recipe/chalta-chutney

📣 WATCH THIS VIDEO WITH A BANGLA VOICEOVER
https://youtu.be/WsLzcpE9Hh0
______________________________________________
🎥 RELATED VIDEOS
🎬 Bhuna khichuri: https://youtu.be/HKNdt5ePjjw
🎬 Labra: https://youtu.be/8dAf3UetAtw
🎬 Niramish mangsho: coming soon!
______________________________________________
🛍️ PRODUCTS USED (affiliate links)
🛒 Swivel peeler: https://geni.us/jXaUaw
🛒 900-watter mixer grinder: https://geni.us/jJEqi
______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://bongeats.com/kitchen/tools

🎶 MUSIC 
""Chowringhee"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS on Instagram @bongeats, or follow us on 
Twitter @bongeats | Facebook @bongeats.",PT5M24S,hd,false,34364.0,1056.0,0.0,63.0,Thursday,324
11ZPGwN2pVE,Bong Eats,"Garur dal—a dal so seasonal, you can only make it for a week",2023-10-17 04:00:01+00:00,"Garur dal is a special dish cooked on the last day of the Bengali month of Ashwin, marking the end 
of the Sharat season, and the beginning of Hemanta. 

It uses summer vegetables that are about to go out of season, with some vegetables, such as water lily stalks, green tamarind, and water lily rhizome available during this period, and some winter vegetables that are just coming into season—a combination so unique that you cannot cook this outside this particular period of the year!

The vegetables required for this dish are all available together in the market for less than a week every year. That is why it took us 3 years to produce this video—the first year to learn my grandmother’s recipe, measure and test it (2021). We filmed it this time last year (2022) but there was not enough time to edit and release it in time for you to cook it. We are finally releasing it this year just in time for the last day of Ashwin, which is 18th October this year.

🌾 We've served garur dal today with the fragrant, parboiled Tulaipanji (siddha) rice from ""Amar Khamar"". Visit https://go.bongeats.com/amar-khamar-free-shipping, or apply code BONGEATS23 for free shipping on orders over Rs 750!

______________________________________________
📝 FULL WRITTEN RECIPE WITH INGREDIENT LIST 
https://bongeats.com/recipe/garur-dal

📣 WATCH THIS VIDEO WITH A BANGLA VOICEOVER
https://www.youtube.com/watch?v=QNuoeaJ7_kQ
______________________________________________

🎥 RELATED VIDEOS
🎬 Pachmishali dal: https://youtu.be/D1T4i7mo928
🎬 Begun bhaja: https://youtu.be/TKkzlsSpzEc

______________________________________________
🛍️ PRODUCTS USED (affiliate links)
🛒7-inch santoku knife: https://geni.us/poWk

______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://bongeats.com/kitchen/tools

🎶 MUSIC 
""Chowringhee"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS on Instagram @bongeats, or follow us on 
Twitter @bongeats | Facebook @bongeats.",PT7M14S,hd,false,114909.0,3051.0,0.0,233.0,Tuesday,434
Ykh9NdtuGVA,Bong Eats,Ingredients at www.bongeats.com,2023-10-15 12:59:40+00:00,,PT54S,hd,false,21328.0,1052.0,0.0,18.0,Sunday,54
Cr_ARyKba2I,Bong Eats,Chhana'r Paturi—a complete guide—cottage cheese in leaf parcels—Bengali vegetarian recipe,2023-10-06 09:30:02+00:00,"Chhanar paturi's meteoric rise in Bengali feasts can be attributed to reasons similar to why the boneless bhetki fillet paturi became popular—it is easy to eat while standing at a buffet while maintaining polite conversations with people one vaguely knows. There is an element of joy in unwrapping a leaf parcel to reveal the content inside—but that is true for most paturi. The fact that chhana, i.e., cottage cheese, has become more popular than more traditional vegetables is probably because it is the least challenging, even to people unfamiliar to Bengali cuisine. All of this is of course our hunch and opinion.

Still, if we ignore the disproportionate fame it has garnered, chhanar paturi, the dish, is quite elegant and delicious. The most popular version uses the traditional paturi flavouring of mustard paste which we have included in the video for the sake of completeness, but it is our least favourite. The mustard's pungency overpowers the mild, milky flavours of the chhana (cottage cheese).

The other three, milder flavour variations play better with the star ingredient, chhana:
🥭 a green mango flavoured chhanar paturi that is based on a recipe from Anjan Chatterjee's 'Oh! Calcutta Cookbook'. 
🧀 one with the very traditional Bandel cheese, the smoked variant
🍋 and one with (somewhat cliche, but delish) gondhoraj lime.

The most important part here is the technique for making the chhana—taking care to curdle it at a lower temperature to produce soft curds, then mashing it by hand to produce a light airy texture. Then we make a base mixture with fresh coconut for flavour and texture, and hung curd for a little kick of acidity and richness. This base mixture is tasty on its own but you can play with it to add your flavours.

🌾 We've served our mildly-flavoured chhanar paturi today with the fragrant, buttery Chine Kamini rice from Amar Khamar. Visit https://go.bongeats.com/amar-khamar-free-shipping, or apply code BONGEATS23 for free shipping on orders over Rs 750!
______________________________________________
📝 FULL WRITTEN RECIPE WITH INGREDIENT LIST 
https://bongeats.com/recipe/chhanar-paturi

📣 WATCH THIS VIDEO WITH A BANGLA VOICEOVER
coming 6:00 p.m. on Oct 6!
______________________________________________

🎥 RELATED VIDEOS
🎬 Lau patay chingri paturi: https://youtu.be/Bjq2EYOrXlc
🎬 Chhanar koftacurry: https://youtu.be/4LrPkp66Ly0
🎬 Bhetki paturi: https://youtu.be/7qVyaZP7QQ8

______________________________________________
🛍️ PRODUCTS USED (affiliate links)
🛒 'Oh! Calcutta Cookbook' by Anjan Chatterjee: https://geni.us/0Wab
🛒 Cast iron grill pan: https://geni.us/jvbqpv

______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://bongeats.com/kitchen/tools

🎶 MUSIC 
""Chowringhee"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS on Instagram @bongeats, or follow us on 
Twitter @bongeats | Facebook @bongeats.",PT6M54S,hd,false,66691.0,2607.0,0.0,87.0,Friday,414
3vxso7afadk,Bong Eats,Amrar chutney with desi and bilati amra—Bengali chutney recipe,2023-09-29 04:00:02+00:00,"This amra'r chutney is family recipe that is made for the brief period of time in the year when both the smaller, more sour desi amra, as well as the larger, sweeter biliti amra is in season. Amra is a sour fruit that is very popular in Bengal. We are making a runny, thin chutney today, but you could easily make it thicker and more jam-like by using less water when pressure cooking the amra. 
______________________________________________
📝 FULL WRITTEN RECIPE WITH INGREDIENT LIST 
https://bongeats.com/recipe/amra-chutney

📣 WATCH THIS VIDEO WITH A BANGLA VOICEOVER
https://youtu.be/w0OWNhle3Do
______________________________________________

🎥 RELATED VIDEOS
🎬 Aamer tok: https://youtu.be/R0POBxK6tyE
🎬 Bhaja moshla: https://youtu.be/gGmCPwauVBs
🎬 Panch phoron: https://youtu.be/gNj33BZYcPs

______________________________________________
🛍️ PRODUCTS USED (affiliate links)
🛒 Black silicone spatula: https://amzn.to/3OxO9Hm
🛒 Small 3-inch paring knife: https://geni.us/LrZNZF

______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://bongeats.com/kitchen/tools

🎶 MUSIC 
""Priyo Phuchkawala"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS on Instagram @bongeats, or follow us on 
Twitter @bongeats | Facebook @bongeats.",PT3M34S,hd,false,33531.0,897.0,0.0,37.0,Friday,214
atAiM9I7eEY,Bong Eats,Calcutta Chicken Rezala—just like Mughlai restaurants,2023-09-15 05:13:28+00:00,"This is not a homestyle Calcutta rezala recipe. This is a no-holds-barred recipe—be it in the amount of oil or ghee, or the number of steps required. Our only goal was to make it as close to the restaurant-style rezala as possible. 

We have been looking for a reliable rezala recipe for a long time. All the recipes we tried from the internet or books produced a rezala that tasted delicious, no doubt, but they were not close to the rezala that is served in Mughlai restaurants in Calcutta. That style of rezala is watery thin, yet rich, flavourful, pearl-white rezala with good centimetre of oil floating on the top—the kind served in Mughlai restaurants in Calcutta, such as Sabir, Aminia, Shiraz, Royal, Arsalan and the likes.

So, just like the kochuri alur torkari recipe from 2018, for those of you that remember, we went about reverse-engineering the rezala recipe. 

The first step was to taste rezalas from all of our favourites. We tasted them side by side. Then sometime last year we came across this video by Mr. Nadim Amin, one of the owners of Aminia—sadly he passed away a few years ago, but you should definitely check out his channel. His video acted as the starting point for us. We cooked many, many batches, varying spices, cooking methods, using boiled onion vs raw, with and without poppy seeds, cashew, dry coconut—for several weeks all we were eating was rezala—until we arrived at this recipe which I think we are happy with. If you try it out, do tag us on Instagram.

Rezala video by Mr Nadim Amin: https://youtu.be/-mnN6Q5gxug
______________________________________________
🥘 RECIPE WITH INGREDIENT LIST 📝
https://bongeats.com/recipe/chicken-rezala
https://bongeats.com/donate
______________________________________________

🎥 RELATED VIDEOS
🎬 Mutton biryani: https://youtu.be/SbWGXcZTYzg
🎬 Beef chaap: https://youtu.be/DfXOiwwl5F8

______________________________________________
🛍️ PRODUCTS USED (affiliate links)
🛒 Sreeghito (Sree Ghee): https://amzn.to/3PFtS4X
🛒 Deer Brand meetha attar: https://amzn.to/48rVCkW

______________________________________________
🔪CURIOUS ABOUT OUR KITCHEN POTS & PANS? 🍳
https://bongeats.com/kitchen/tools

🎶 MUSIC 
""Chowringhee"" © Bong Eats, composed by  @Bemanan Music  

🎧 GET THE ALBUM (© for listening only)
https://kit.co/bongeats/music-album-quorma-kaliya-polao

👨🏽‍🍳 Cooking Bong Eats recipes? 👩🏽‍🍳
📸SHOW US YOUR PHOTOS on Instagram @bongeats, or follow us on 
Twitter @bongeats | Facebook @bongeats.",PT12M35S,hd,true,279620.0,9188.0,0.0,477.0,Friday,755
